PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top_or_Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
1,9/21/25,59:12.0,1,1,"Magill, Carson",815452,Right,STJ_HAW,"MASLO, AUGIE",10091362,Right,STJ_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.58633,-2.601483,-1.641549,2150.59026,202.160883,12:45,5.67272,0.80856,5.97892,-18.68875,17.57147,6.58929,1.7012,-0.1644,79.49874,-6.178607,-0.457008,0.433398,,,,,,,,,,,,-3.94091,10.30426,-0.68243,50,5.45678,3.39841,-128.27708,-6.36066,-6.42586,31.83456,-15.37246,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,eac94380-9703-11f0-bee7-7ff1e5e786b6,86.96962,,,9.08759,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,59:12.0,2025-09-21T11:59:12.0382464-04:00,2025-09-21T15:59:12.0382464Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,794102e8-7070-4513-8751-b5e5c31e2059,54.51641,-129.39307,15.91728,5.67032,-5.82177,-7.68623,-0.80552,3.62367,-3.21293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,202.842476,22.757093,1983.173456,0.922153,12:45,-0.394371,-0.375167,-0.838881,-27.382982,-17.466672,-36.293352,0.120579,159.791626,-0.931595,20.054568,0.931595,-0.342915,-0.120579,7.374978,6.925545,0.342915,0.342915,-159.791626,-6.925545,0.120579,-20.054568,-7.374978,-0.120579,-0.342915,0.931595,-0.931595
2,9/21/25,59:29.2,1,2,"Magill, Carson",815452,Right,STJ_HAW,"MASLO, AUGIE",10091362,Right,STJ_HAW,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.97259,-2.19951,-2.437329,1620.86537,224.314336,1:30,5.52519,0.90568,6.18261,-27.66316,14.85678,13.07493,1.18605,-0.25675,73.77554,-7.401216,-0.077648,0.469318,,,,,,,,,,,,-7.5693,8.79445,-0.72836,50,5.34496,4.52768,-117.4571,-5.28494,-10.48149,24.0712,-19.99603,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,f4f9e800-9703-11f0-bee7-7ff1e5e786b6,80.31314,,,7.19705,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,59:29.2,2025-09-21T11:59:29.1837440-04:00,2025-09-21T15:59:29.1837440Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,51bfc559-ceb6-4710-ac51-cd2558480db7,54.31633,-118.33837,12.0356,5.52505,-4.55287,-9.99802,-0.90115,4.91141,-5.24074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,226.007983,-11.953476,1585.718693,0.978316,1:30,0.204869,-0.695369,-0.688833,58.1296,25.104826,23.114199,-0.215743,105.630655,-0.26309,-70.108688,0.26309,-0.94034,0.215743,39.352895,-12.459095,0.94034,-0.94034,-105.630655,12.459095,0.215743,70.108688,-39.352895,-0.215743,0.94034,0.26309,-0.26309
3,9/21/25,59:46.7,1,3,"Magill, Carson",815452,Right,STJ_HAW,"MASLO, AUGIE",10091362,Right,STJ_HAW,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.82299,-1.541468,-1.437033,2129.337371,202.441064,12:45,5.69112,0.72314,5.97176,-16.46981,20.38044,7.83536,2.88876,0.04355,78.67691,-4.736712,-0.029027,0.43691,86.33054,50.143302,-11.862935,3731.814561,107.52034,116.46028,-23.22439,268.36592,258.72125,-12.401348,5.886631,-4.52744,11.40071,-0.61379,50,5.56018,2.86793,-127.27769,-3.85663,-7.26441,31.44495,-13.88119,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,ff70e450-9703-11f0-bee7-7ff1e5e786b6,86.27055,132.12462,,9.14608,,,,2.55892,4.43688,-0.62962,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,59:46.7,2025-09-21T11:59:46.6825728-04:00,2025-09-21T15:59:46.6825728Z,FlyBall,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,893dc68b-0991-4882-ba9f-c4caca38fa5c,54.52429,-128.39059,15.72248,5.68798,-3.36535,-6.94059,-0.71984,3.12503,-3.6322,178.966231,2.56669,79.27468,-17.26694,4.04581,-0.5664,0.03269,0.00165,-0.00019,-1.00E-05,4.43662,97.18468,-21.97138,1.62498,0.03944,-0.1418,0.04283,-0.0056,0.00028,-0.63116,-16.65406,3.34985,-0.76515,0.10203,-0.00465,-0.00048,4E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,202.259612,16.508261,2041.563481,0.958779,12:45,-0.296447,-0.370702,-0.88017,-22.897362,-17.35098,-31.746936,0.113143,161.408242,-0.941728,18.468045,0.941728,-0.316776,-0.113143,6.85092,6.496539,0.316776,0.316776,-161.408242,-6.496539,0.113143,-18.468045,-6.85092,-0.113143,-0.316776,0.941728,-0.941728
4,9/21/25,00:26.3,2,1,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.97391,-2.662325,-1.500567,2110.953922,201.644332,12:45,5.64559,0.73401,5.91096,-14.89572,21.04596,7.81241,1.93063,-0.00802,79.95979,-5.553643,-0.098279,0.43149,,,,,,,,,,,,-4.48248,12.03146,-0.61802,50,5.42349,3.03919,-128.85249,-6.37265,-7.39796,31.34863,-12.31704,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,171b64e0-9704-11f0-bee7-7ff1e5e786b6,87.35417,,,9.01412,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,00:26.3,2025-09-21T12:00:26.3208448-04:00,2025-09-21T16:00:26.3208448Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,0e852954-2061-47f1-a941-2af90be5178c,54.58415,-129.96299,15.67432,5.64151,-5.93633,-6.15852,-0.73032,3.30125,-3.69898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,202.652919,13.70414,2050.859294,0.971532,12:45,-0.242675,-0.384784,-0.890534,-18.614053,-16.359732,-27.301901,0.159718,163.011609,-0.944087,16.763816,0.944087,-0.288427,-0.159718,9.602209,9.190515,0.288427,0.288427,-163.011609,-9.190515,0.159718,-16.763816,-9.602209,-0.159718,-0.288427,0.944087,-0.944087
5,9/21/25,00:41.4,2,2,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.87142,-1.320039,-1.796314,2274.94545,155.353203,11:15,5.49778,0.98973,5.89494,-30.49277,11.808,-4.71894,1.73034,-1.07181,74.11195,-7.017552,-2.643206,0.468107,,,,,,,,,,,,1.83244,6.91996,-0.8424,50,5.3742,3.90701,-118.67946,-3.66315,2.57296,25.99975,-22.45763,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,1ffe2ca0-9704-11f0-bee7-7ff1e5e786b6,80.52093,,,7.75947,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,00:41.4,2025-09-21T12:00:41.3894656-04:00,2025-09-21T16:00:41.3894656Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,bbb9f5f8-0925-483a-bb2a-51de228ed946,54.60079,-119.68313,12.99988,5.49888,-2.79621,-11.22882,-0.99131,3.80768,1.28648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,147.960631,77.224351,503.067864,0.221134,11:00,-0.983083,0.094814,-0.156713,-1.337943,35.955708,50.04419,-0.824887,140.401273,-0.435577,-21.120126,0.435577,-0.360325,0.824887,62.163947,-55.577049,0.360325,-0.360325,-140.401273,55.577049,0.824887,21.120126,-62.163947,-0.824887,0.360325,0.435577,-0.435577
6,9/21/25,00:59.6,2,3,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.57795,-2.632924,-2.080201,2084.881672,191.056422,12:15,5.63008,0.72314,6.13867,-15.32914,20.63918,3.76803,1.91606,-0.88616,79.63298,-5.612709,-1.401388,0.43165,,,,,,,,,,,,-2.62949,11.9078,-0.56636,50,5.42115,4.50303,-128.28975,-6.2783,-4.30119,31.11888,-12.69593,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,2ae3a230-9704-11f0-bee7-7ff1e5e786b6,87.3218,,,8.94497,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,00:59.6,2025-09-21T12:00:59.5828736-04:00,2025-09-21T16:00:59.5828736Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,4db68f1d-bd9b-437b-86c8-e99b75a4df43,54.35635,-129.34214,15.55944,5.62621,-5.84894,-6.34796,-0.7211,4.64849,-2.1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,201.817113,23.220093,1916.000273,0.918997,12:45,-0.408878,-0.359292,-0.838885,-28.204791,-21.800669,-42.592345,0.118996,158.420676,-0.923302,21.4184,0.923302,-0.365176,-0.118996,7.343837,6.83415,0.365176,0.365176,-158.420676,-6.83415,0.118996,-21.4184,-7.343837,-0.118996,-0.365176,0.923302,-0.923302
7,9/21/25,01:19.6,2,4,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.9777,-0.914337,-0.851049,2144.797193,196.252089,12:30,5.66611,0.5643,5.96438,-13.97627,21.7943,5.96748,3.65346,0.27243,79.87383,-3.653853,0.221263,0.430461,76.53725,67.796477,-77.201038,4333.835639,,,,,44.12252,,,-3.34276,11.86201,-0.50014,50,5.58599,1.66368,-129.03373,-2.39713,-5.53245,31.44022,-12.54184,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,36d29880-9704-11f0-bee7-7ff1e5e786b6,87.56288,89.26733,,9.10387,,,,0.8103,3.33233,0.15095,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,01:19.6,2025-09-21T12:01:19.5874816-04:00,2025-09-21T16:01:19.5874816Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,e8fcbdb6-f504-4cfb-af20-38e57a9c886d,54.5313,-130.13314,15.72011,5.66215,-1.95856,-6.27092,-0.5617,1.85714,-2.76622,,0.81032,9.39405,-10.54946,2.88518,1.35128,-3.39857,3.13526,-1.43441,0.26155,3.33234,103.93018,-28.94004,3.61317,-0.59671,-0.02911,0.09004,-0.03161,0.00209,0.15095,-41.36741,2.80191,-0.25436,0.43322,-0.79341,0.72819,-0.33924,0.06356,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,200.793501,19.50834,2021.670595,0.942593,12:45,-0.341614,-0.339908,-0.876221,-18.844181,-19.475227,-36.955447,0.192098,158.666427,-0.91413,20.917396,0.91413,-0.357022,-0.192098,11.867646,11.075268,0.357022,0.357022,-158.666427,-11.075268,0.192098,-20.917396,-11.867646,-0.192098,-0.357022,0.91413,-0.91413
8,9/21/25,01:44.8,2,5,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.38493,-2.885597,-1.78405,1635.504937,223.033225,1:30,5.4298,0.96781,6.45564,-24.51186,15.33662,12.9902,0.73279,0.4109,75.69346,-7.534166,0.573938,0.454336,,,,,,,,,,,,-7.42949,9.36611,-0.84737,50,5.21455,3.30325,-120.95688,-6.75015,-10.85655,26.59792,-18.48759,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,45dead50-9704-11f0-bee7-7ff1e5e786b6,82.96156,,,7.69147,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,01:44.8,2025-09-21T12:01:44.8455680-04:00,2025-09-21T16:01:44.8455680Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,ed84d334-a7ec-4a2e-a428-e9fb57e2dfcc,54.04317,-121.84271,13.29896,5.42911,-6.13444,-9.2438,-0.96341,3.66482,-5.42827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,224.430951,-10.717134,1606.977198,0.982557,1:30,0.198401,-0.677605,-0.708159,57.339356,11.072,15.909289,-0.140758,102.825866,-0.219779,-74.871218,0.219779,-0.965342,0.140758,32.637721,-8.091724,0.965342,-0.965342,-102.825866,8.091724,0.140758,74.871218,-32.637721,-0.140758,0.965342,0.219779,-0.219779
9,9/21/25,02:07.9,2,6,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.62261,-1.335636,1.610151,1700.538472,66.293029,8:15,5.62947,0.73763,5.68419,-49.49377,-2.9589,-10.72319,0.25931,1.34526,71.19158,-10.39677,-0.313745,0.490977,,,,,,,,,,,,6.0804,-0.65646,-0.86609,50,5.48577,-2.80155,-113.94867,-4.26066,7.80138,25.6521,-33.01632,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,539e44f0-9704-11f0-bee7-7ff1e5e786b6,76.77034,,,7.43103,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,02:07.9,2025-09-21T12:02:07.9736832-04:00,2025-09-21T16:02:07.9736832Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,b8892c99-f265-4550-9697-04f14d6dce3c,54.81524,-115.02757,12.82605,5.63577,-2.87203,-16.50816,-0.74136,-3.12967,3.90069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,26.915631,58.524046,887.920318,0.522141,7:00,-0.87088,0.216418,0.441283,-21.632919,-8.5044,-83.890974,0.238752,98.139171,-0.137484,74.007757,0.137484,-0.961299,-0.238752,60.064795,13.812887,0.961299,0.961299,-98.139171,-13.812887,0.238752,-74.007757,-60.064795,-0.238752,-0.961299,0.137484,-0.137484
10,9/21/25,02:32.8,2,7,"Magill, Carson",815452,Right,STJ_HAW,"Dickinson, Tim",10075773,Left,STJ_HAW,Undefined,1,Top,1,3,2,ChangeUp,Slider,StrikeCalled,Strikeout,Undefined,Undefined,1,0,,81.89324,-1.593442,-1.22139,2127.178588,160.824982,11:15,5.42529,1.13591,5.82668,-31.15474,10.74516,-3.26173,1.34705,-0.2715,74.98297,-7.369945,-1.806547,0.465884,,,,,,,,,,,,1.32673,6.35016,-1.03413,50,5.27666,2.65903,-118.88091,-4.27831,1.8905,23.70258,-23.12542,STJ_HAW,STJ_HAW,JohnWSmithsonField,TeamExclusive,Team,20250921-JohnWSmithsonField-Private-1,62653a70-9704-11f0-bee7-7ff1e5e786b6,80.90516,,,6.91027,,,,,,,d9ce5a0b-94ac-499e-8813-4bda6095a37e,9/21/25,02:32.8,2025-09-21T12:02:32.7560000-04:00,2025-09-21T16:02:32.7560000Z,,v3,471426,471426,,"Janesko, Jason",806127,Right,STJ_HAW,b9928416-6114-43d2-8f30-6c857c9e8b0b,54.67218,-119.80884,11.85129,5.42643,-3.37298,-11.56271,-1.13678,2.58502,0.94525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.44666,,,1.307275,,,,-3.57767,5.39401,0.23256,82.87993,1.23264,-41.90124,-3.50503,72.56295,-5.02226,5.42883,13.97316,-13.18043,0.19925,-35.19859,2.31916,High,High,High,,,High,High,High,160.972153,76.16035,508.832717,0.239205,11:15,-0.977361,0.050957,-0.205349,4.903686,18.517822,69.433255,-0.904908,149.630225,-0.367205,-12.42596,0.367205,-0.215178,0.904908,67.91303,-64.810912,0.215178,-0.215178,-149.630225,64.810912,0.904908,12.42596,-67.91303,-0.904908,0.215178,0.367205,-0.367205
